Start Buffer: size=834
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [29, 5, 9, 34, 44, 35, 3680, 0, 60, 54]
Robot Data: [32, 5, 10, 39, 40, 35, 3400, 0, 58, 55]
Robot Data: [38, 6, 11, 44, 40, 35, 3120, 0, 40, 36]
Robot Data: [41, 7, 12, 49, 36, 35, 2840, 0, 33, 33]
Robot Data: [48, 9, 16, 56, 32, 35, 2560, 0, 29, 29]
Robot Data: [54, 10, 21, 63, 29, 36, 2600, 0, 41, 41]
Robot Data: [60, 11, 22, 70, 27, 36, 2600, 303, 44, 51]
Robot Data: [65, 13, 25, 76, 26, 36, 2600, 606, 34, 68]
Robot Data: [68, 14, 30, 83, 28, 36, 2600, 909, 16, 69]
Robot Data: [71, 16, 36, 91, 27, 36, 2600, 1212, 15, 77]
Robot Data: [76, 17, 46, 103, 26, 36, 2600, 1515, 15, 83]
Robot Data: [77, 15, 55, 113, 25, 36, 2600, 1818, 18, 88]
Robot Data: [76, 13, 72, 120, 25, 36, 2600, 2121, 12, 94]
Robot Data: [69, 9, 99, 121, 24, 36, 2600, 2424, 18, 98]
Robot Data: [63, 7, 132, 122, 24, 36, 2600, 2727, 15, 103]
Robot Data: [56, 4, 175, 123, 24, 36, 2600, 3030, 15, 105]
Robot Data: [56, 4, 217, 127, 25, 36, 2600, 3108, 12, 103]
Robot Data: [48, 2, 259, 131, 25, 36, 2600, 3108, 18, 97]
Robot Data: [39, 3, 312, 134, 25, 36, 2600, 3108, 24, 93]
Robot Data: [28, 5, 369, 135, 25, 36, 2600, 3108, 32, 86]
Robot Data: [18, 5, 439, 134, 26, 36, 2600, 3108, 29, 82]
Robot Data: [14, 5, 538, 131, 26, 36, 2600, 3108, 31, 81]
Robot Data: [6, 5, 599, 121, 25, 36, 2600, 3108, 34, 85]
Robot Data: [6, 4, 569, 110, 25, 36, 2600, 3108, 33, 87]
Robot Data: [4, 3, 509, 96, 26, 36, 2600, 3108, 24, 89]
Robot Data: [3, 4, 466, 76, 25, 36, 2600, 3108, 25, 96]
Robot Data: [2, 4, 429, 61, 26, 36, 2600, 3108, 22, 93]
Robot Data: [5, 7, 337, 46, 25, 36, 2600, 3108, 26, 96]
Robot Data: [8, 11, 332, 31, 26, 36, 2600, 2805, 29, 87]
Robot Data: [7, 18, 307, 16, 26, 36, 2600, 2502, 39, 76]
Robot Data: [9, 33, 267, 7, 27, 36, 2600, 2199, 45, 63]
Robot Data: [7, 45, 225, 5, 26, 36, 2600, 1896, 57, 58]
Robot Data: [6, 59, 186, 5, 25, 36, 2600, 1593, 71, 51]
Robot Data: [7, 77, 156, 7, 27, 36, 2600, 1290, 70, 38]
Robot Data: [5, 84, 135, 7, 26, 36, 2600, 987, 76, 38]
Robot Data: [8, 95, 125, 8, 26, 36, 2600, 684, 73, 41]
Robot Data: [6, 94, 117, 7, 25, 36, 2600, 381, 74, 48]
Robot Data: [6, 96, 117, 9, 26, 36, 2320, 78, 54, 31]
Robot Data: [5, 95, 118, 8, 26, 36, 2040, 0, 29, 22]
Robot Data: [5, 94, 122, 8, 22, 36, 2000, 0, 36, 38]
Robot Data: [7, 88, 128, 9, 21, 20, 2000, 0, 36, 44]
Robot Data: [7, 86, 128, 9, 21, 20, 2280, 0, 42, 60]
Robot Data: [8, 85, 129, 8, 22, 20, 2560, 0, 53, 73]
Robot Data: [6, 86, 130, 9, 24, 20, 2840, 0, 68, 76]
Robot Data: [7, 91, 126, 9, 24, 20, 3120, 0, 85, 95]
Robot Data: [6, 93, 123, 9, 26, 20, 3400, 0, 102, 100]
Robot Data: [7, 97, 117, 11, 30, 20, 3680, 0, 105, 98]
Robot Data: [8, 98, 111, 11, 32, 20, 3960, 0, 120, 105]
Robot Data: [8, 98, 106, 11, 36, 20, 4240, 0, 126, 105]
Robot Data: [9, 99, 104, 11, 38, 20, 4520, 0, 133, 121]
Robot Data: [9, 102, 106, 10, 42, 20, 4800, 0, 133, 128]
Robot Data: [10, 98, 100, 10, 45, 20, 5080, 0, 133, 134]
Robot Data: [13, 97, 95, 11, 49, 20, 5360, 0, 134, 138]
