Start Buffer: size=422
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [7, 35, 108, 3, 14, 18, 1400, 0, 40, 30]
Robot Data: [6, 42, 109, 3, 13, 18, 1400, 0, 38, 40]
Robot Data: [4, 46, 109, 4, 14, 18, 1400, 0, 30, 41]
Robot Data: [9, 49, 110, 3, 14, 18, 1400, 0, 31, 41]
Robot Data: [7, 57, 111, 3, 14, 18, 1400, 0, 29, 42]
Robot Data: [4, 62, 116, 5, 14, 18, 1400, 0, 31, 40]
Robot Data: [6, 63, 113, 4, 14, 18, 1400, 0, 31, 41]
Robot Data: [7, 71, 111, 4, 14, 18, 1400, 0, 36, 35]
Robot Data: [7, 76, 105, 3, 14, 18, 1400, 0, 37, 34]
Robot Data: [7, 87, 102, 3, 14, 18, 1400, 0, 39, 32]
Robot Data: [7, 95, 102, 3, 14, 18, 1400, 0, 41, 30]
Robot Data: [6, 99, 101, 5, 14, 18, 1400, 0, 39, 32]
Robot Data: [7, 92, 98, 4, 14, 18, 1400, 0, 37, 34]
Robot Data: [9, 67, 99, 3, 14, 18, 1400, 0, 33, 38]
Robot Data: [8, 40, 102, 4, 14, 18, 1400, 0, 32, 39]
Robot Data: [6, 19, 102, 3, 14, 18, 1400, 0, 32, 39]
Robot Data: [8, 11, 97, 5, 14, 18, 1400, 0, 34, 37]
Robot Data: [7, 8, 94, 4, 15, 18, 1400, 0, 32, 31]
Robot Data: [9, 4, 96, 4, 14, 18, 1400, 0, 37, 33]
Robot Data: [8, 2, 95, 4, 14, 18, 1400, 0, 39, 31]
Robot Data: [7, 3, 97, 4, 14, 18, 1400, 0, 36, 34]
Robot Data: [8, 1, 93, 5, 14, 18, 1400, 0, 39, 31]
Robot Data: [8, 1, 94, 4, 13, 18, 1400, 0, 42, 36]
Robot Data: [8, 3, 94, 4, 14, 18, 1400, 0, 35, 36]
Robot Data: [8, 2, 99, 5, 14, 18, 1400, 0, 37, 34]
Robot Data: [8, 4, 97, 5, 14, 18, 1400, 0, 33, 38]
Robot Data: [6, 3, 101, 5, 14, 18, 1400, 0, 34, 37]
Robot Data: [7, 3, 99, 6, 14, 18, 1400, 0, 34, 37]
Robot Data: [7, 4, 98, 5, 15, 18, 1400, 0, 32, 31]
Robot Data: [8, 5, 102, 5, 13, 18, 1400, 0, 37, 41]
Robot Data: [10, 3, 99, 5, 14, 18, 1400, 0, 38, 33]
