Start Buffer: size=822
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt, cte, steerAdj, loopTick
Robot Data: [84, 26, 29, 77, 24, 4, 2300, -1212, 68, 12, 0, 0, 3083]
Robot Data: [94, 29, 27, 78, 23, 4, 2300, -1515, 78, 9, 0, 0, 3084]
Robot Data: [106, 36, 27, 78, 22, 4, 2300, -1818, 82, 12, 0, 0, 3085]
Robot Data: [125, 49, 24, 78, 21, 4, 2300, -2121, 93, 11, 0, 0, 3086]
Robot Data: [145, 61, 20, 75, 22, 4, 2300, -2424, 93, 5, 0, 0, 3087]
Robot Data: [162, 80, 14, 72, 20, 4, 2300, -2727, 104, 10, 0, 0, 3088]
Robot Data: [165, 103, 11, 66, 22, 4, 2300, -3030, 98, 4, 0, 0, 3089]
Robot Data: [167, 132, 11, 59, 21, 4, 2300, -3108, 102, 9, 0, 0, 3090]
Robot Data: [165, 166, 17, 49, 22, 4, 2300, -3108, 90, 16, 0, 0, 3091]
Robot Data: [166, 203, 19, 43, 22, 4, 2300, -3108, 84, 23, 0, 0, 3092]
Robot Data: [168, 238, 21, 36, 23, 4, 2300, -3108, 78, 22, 0, 0, 3093]
Robot Data: [167, 274, 24, 27, 22, 4, 2300, -3108, 82, 25, 0, 0, 3094]
Robot Data: [169, 331, 31, 23, 22, 4, 2300, -3108, 79, 30, 0, 0, 3095]
Robot Data: [165, 400, 33, 15, 23, 4, 2300, -3108, 78, 24, 0, 0, 3096]
Robot Data: [157, 424, 27, 12, 23, 4, 2300, -3108, 84, 18, 0, 0, 3097]
Robot Data: [147, 399, 23, 12, 22, 4, 2300, -3108, 91, 19, 0, 0, 3098]
Robot Data: [137, 371, 24, 14, 23, 4, 2300, -3108, 89, 15, 0, 0, 3099]
Robot Data: [119, 335, 21, 18, 23, 4, 2300, -3108, 87, 17, 0, 0, 3100]
Robot Data: [88, 310, 20, 16, 22, 4, 2300, -3108, 91, 20, 0, 0, 3101]
Robot Data: [70, 275, 19, 19, 23, 4, 2300, -2805, 83, 21, 0, 0, 3102]
Robot Data: [52, 213, 18, 23, 23, 4, 2300, -2502, 72, 32, 0, 0, 3103]
Robot Data: [32, 204, 15, 26, 23, 4, 2300, -2199, 62, 43, 0, 0, 3104]
Robot Data: [18, 175, 14, 27, 24, 4, 2300, -1896, 48, 48, 0, 0, 3105]
Robot Data: [11, 146, 11, 29, 22, 4, 2300, -1593, 50, 62, 0, 0, 3106]
Robot Data: [23, 132, 10, 30, 23, 4, 2300, -1290, 39, 65, 0, 0, 3107]
Robot Data: [33, 119, 9, 30, 23, 4, 2300, -987, 37, 68, 0, 0, 3108]
Robot Data: [40, 113, 11, 30, 23, 4, 2300, -684, 38, 67, 0, 0, 3109]
Robot Data: [40, 106, 9, 30, 23, 4, 2300, -381, 39, 65, 0, 0, 3110]
Robot Data: [43, 106, 10, 34, 22, 4, 2300, -78, 45, 67, 0, 0, 3111]
Robot Data: [46, 113, 12, 36, 23, 4, 2020, 0, 30, 45, 0, 0, 3112]
Robot Data: [48, 117, 13, 39, 22, 4, 2000, 0, 39, 40, 0, 0, 3113]
Robot Data: [49, 125, 13, 43, 20, 5, 2000, 0, 52, 40, 0, 0, 3114]
Robot Data: [46, 131, 19, 45, 20, 5, 2000, 0, 53, 39, 0, 0, 3115]
Robot Data: [47, 134, 19, 47, 22, 5, 2000, 0, 45, 32, 0, 0, 3116]
Robot Data: [53, 136, 21, 51, 20, 5, 2000, 0, 50, 40, 0, 0, 3117]
Robot Data: [58, 133, 20, 54, 19, 5, 2000, -303, 58, 40, 0, 0, 3118]
Robot Data: [63, 134, 22, 57, 20, 5, 2000, -606, 62, 29, 0, 0, 3119]
Robot Data: [63, 133, 25, 57, 20, 5, 2000, -909, 72, 19, 0, 0, 3120]
Robot Data: [64, 126, 24, 59, 20, 5, 2000, -1212, 79, 13, 0, 0, 3121]
Robot Data: [70, 115, 23, 59, 19, 5, 2000, -1515, 89, 10, 0, 0, 3122]
Robot Data: [73, 102, 22, 58, 19, 5, 2000, -1818, 92, 8, 0, 0, 3123]
Robot Data: [81, 85, 18, 55, 20, 5, 2000, -2121, 89, 5, 0, 0, 3124]
Robot Data: [94, 67, 14, 52, 19, 5, 2000, -2424, 92, 9, 0, 0, 3125]
Robot Data: [111, 61, 10, 49, 20, 5, 2000, -2727, 87, 8, 0, 0, 3126]
Robot Data: [121, 83, 6, 45, 20, 5, 2000, -3030, 91, 3, 0, 0, 3127]
Robot Data: [114, 80, 4, 40, 20, 5, 2000, -3108, 89, 6, 0, 0, 3128]
Robot Data: [111, 93, 4, 39, 20, 5, 2000, -3108, 87, 7, 0, 0, 3129]
Robot Data: [111, 111, 1, 33, 19, 5, 2000, -3108, 86, 17, 0, 0, 3130]
