Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Cross Track Error,Steering Correction,loopTick,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y,time_s,Speed_mm_s
6,4,36,8,20,33,2000,1818,4,89,0,0,3557,14,-2,27857,4953.993725056548,355.673168328,246.98828571402603,0.144,3.2039999999999997,2,1,7.1,355.673168328038
5,4,28,9,20,33,2000,2121,1,94,0,0,3558,14,-4,27877,4957.550456739828,355.673168328,288.15299999969704,0.036,3.384,2,1,7.11,355.67316832800645
3,5,19,8,19,33,2000,2424,6,95,0,0,3559,11,-5,27896,4960.929351838944,355.673168328,329.317714285368,0.21599999999999997,3.42,2,1,7.12,337.8895099115725
3,5,11,8,20,33,2000,2727,2,92,0,0,3560,11,-5,27916,4964.486083522224,355.673168328,370.482428571039,0.072,3.312,2,1,7.13,355.673168328038
4,8,7,9,20,33,2000,3030,2,92,0,0,3561,13,-5,27936,4968.042815205504,355.673168328,411.64714285671005,0.072,3.312,2,1,7.14,355.67316832794705
4,7,8,6,19,33,2000,3108,10,92,0,0,3562,10,-2,27955,4971.42171030462,355.673168328,422.243999999556,0.36,3.312,2,1,7.15,337.8895099116334
2,11,12,6,20,33,2000,3108,12,84,0,0,3563,8,-4,27975,4974.9784419879,355.673168328,422.243999999556,0.43199999999999994,3.0239999999999996,2,1,7.16,355.67316832794705
3,17,12,14,20,33,2000,3108,21,75,0,0,3564,17,-11,27995,4978.53517367118,355.673168328,422.243999999556,0.7559999999999999,2.6999999999999997,2,1,7.17,355.673168328038
4,29,13,33,21,33,2000,3108,15,72,0,0,3565,37,-29,28016,4982.269741938624,355.673168328,422.243999999556,0.5399999999999999,2.5919999999999996,2,1,7.18,373.45682674441264
6,99,15,24,20,33,2000,3108,21,74,0,0,3566,30,-18,28036,4985.826473621904,355.673168328,422.243999999556,0.7559999999999999,2.6639999999999997,2,1,7.19,355.67316832800645
9,25,17,6,21,33,2000,3108,15,72,0,0,3567,15,3,28057,4989.561041889348,355.673168328,422.243999999556,0.5399999999999999,2.5919999999999996,2,1,7.2,373.45682674441264
10,23,24,3,20,33,2000,3108,20,73,0,0,3568,13,7,28077,4993.117773572628,355.673168328,422.243999999556,0.72,2.6279999999999997,2,1,7.21,355.67316832794705
12,26,35,2,20,33,2000,3108,16,77,0,0,3569,14,10,28097,4996.674505255908,355.673168328,422.243999999556,0.576,2.772,2,1,7.22,355.673168328038
16,30,114,4,20,33,2000,3108,13,81,0,0,3570,20,12,28117,5000.231236939188,355.673168328,422.243999999556,0.46799999999999997,2.916,2,1,7.23,355.67316832800645
19,16,16,5,20,33,2000,3108,13,80,0,0,3571,24,14,28137,5003.787968622468,355.673168328,422.243999999556,0.46799999999999997,2.88,2,1,7.24,355.67316832794705
22,21,8,5,20,33,2000,3108,11,82,0,0,3572,27,17,28157,5007.344700305748,355.673168328,422.243999999556,0.39599999999999996,2.952,2,1,7.25,355.673168328038
29,39,6,9,21,33,2000,3108,6,80,0,0,3573,38,20,28178,5011.079268573192,355.673168328,422.243999999556,0.21599999999999997,2.88,2,1,7.26,373.45682674441264
31,69,6,11,20,33,2000,2805,15,77,0,0,3574,42,20,28198,5014.636000256472,355.673168328,381.07928571388504,0.5399999999999999,2.772,2,1,7.27,355.67316832794705
45,111,5,14,20,33,2000,2502,24,68,0,0,3575,59,31,28218,5018.192731939752,355.673168328,339.91457142821406,0.8639999999999999,2.448,2,1,7.28,355.67316832800645
67,162,4,18,20,33,2000,2199,38,54,0,0,3576,85,49,28238,5021.749463623032,355.673168328,298.749857142543,1.3679999999999999,1.944,2,1,7.29,355.673168328038
47,223,4,20,20,33,2000,1896,50,42,0,0,3577,67,27,28258,5025.306195306312,355.673168328,257.58514285687204,1.7999999999999998,1.5119999999999998,2,1,7.3,355.67316832794705
28,269,8,29,19,33,2000,1593,65,35,0,0,3578,57,-1,28277,5028.685090405428,355.673168328,216.42042857120103,2.34,1.26,2,1,7.31,337.8895099116634
35,292,6,39,20,33,2000,1290,68,25,0,0,3579,74,-4,28297,5032.241822088708,355.673168328,175.25571428553002,2.448,0.8999999999999999,2,1,7.32,355.67316832800645
44,296,11,47,20,33,2000,987,65,29,0,0,3580,91,-3,28317,5035.798553771988,355.673168328,134.090999999859,2.34,1.0439999999999998,2,1,7.33,355.67316832794705
56,296,13,49,20,33,2000,684,63,31,0,0,3581,105,7,28337,5039.355285455268,355.673168328,92.92628571418801,2.268,1.1159999999999999,2,1,7.34,355.673168328038
58,296,14,51,20,33,2000,381,58,36,0,0,3582,109,7,28357,5042.912017138548,355.673168328,51.761571428517,2.0879999999999996,1.2959999999999998,2,1,7.35,355.673168328038
55,294,14,52,20,33,2000,78,54,39,0,0,3583,107,3,28377,5046.468748821828,355.673168328,10.596857142846002,1.944,1.404,2,1,7.36,355.6731683279155
53,294,17,53,20,33,2000,0,51,42,0,0,3584,106,0,28397,5050.025480505108,355.673168328,0.0,1.8359999999999999,1.5119999999999998,2,1,7.37,355.673168328038
47,295,18,54,20,33,2000,0,44,49,0,0,3585,101,-7,28417,5053.582212188388,355.673168328,0.0,1.5839999999999999,1.7639999999999998,2,1,7.38,355.673168328038
51,295,18,56,21,32,2000,0,37,48,0,0,3586,107,-5,28438,5057.316780455832,355.673168328,0.0,1.3319999999999999,1.7279999999999998,2,0,7.39,373.4568267443217
48,294,20,57,20,32,2000,-303,49,44,0,0,3587,105,-9,28458,5060.873512139112,355.673168328,-41.164714285671,1.7639999999999998,1.5839999999999999,2,0,7.4,355.67316832800645
50,292,21,59,18,32,2000,-606,65,42,0,0,3588,109,-9,28476,5064.074570654064,355.673168328,-82.329428571342,2.34,1.5119999999999998,2,0,7.41,320.10585149519784
46,291,22,60,21,32,2000,-909,63,24,0,0,3589,106,-14,28497,5067.809138921508,355.673168328,-123.49414285701302,2.268,0.8639999999999999,2,0,7.42,373.45682674441264
48,287,22,65,20,32,2000,-1212,75,18,0,0,3590,113,-17,28517,5071.365870604788,355.673168328,-164.658857142684,2.6999999999999997,0.6479999999999999,2,0,7.43,355.673168328038
49,287,25,69,19,32,2000,-1515,87,14,0,0,3591,118,-20,28536,5074.744765703904,355.673168328,-205.82357142835502,3.1319999999999997,0.504,2,0,7.44,337.88950991154246
61,277,23,72,20,32,2000,-1818,92,3,0,0,3592,133,-11,28556,5078.301497387184,355.673168328,-246.98828571402603,3.312,0.10799999999999998,2,0,7.45,355.673168328038
102,252,20,65,20,32,2000,-2121,97,2,0,0,3593,167,37,28576,5081.858229070464,355.673168328,-288.15299999969704,3.4919999999999995,0.072,2,0,7.46,355.673168328038
142,212,17,61,20,32,2000,-2424,96,1,0,0,3594,203,81,28596,5085.414960753744,355.673168328,-329.317714285368,3.4559999999999995,0.036,2,0,7.47,355.67316832794705
162,157,10,58,19,32,2000,-2727,97,5,0,0,3595,220,104,28615,5088.79385585286,355.673168328,-370.482428571039,3.4919999999999995,0.18,2,0,7.48,337.8895099116334
164,108,8,53,19,32,2000,-3030,97,7,0,0,3596,217,111,28634,5092.172750951976,355.673168328,-411.64714285671005,3.4919999999999995,0.252,2,0,7.49,337.8895099115725
129,131,6,51,20,32,2000,-3108,90,7,0,0,3597,180,78,28654,5095.729482635256,355.673168328,-422.243999999556,3.2399999999999998,0.252,2,0,7.5,355.673168328038
133,129,6,47,21,32,2000,-3108,92,3,0,0,3598,180,86,28675,5099.4640509027,355.673168328,-422.243999999556,3.312,0.10799999999999998,2,0,7.51,373.45682674441264
133,137,8,42,20,32,2000,-3108,97,1,0,0,3599,175,91,28695,5103.02078258598,355.673168328,-422.243999999556,3.4919999999999995,0.036,2,0,7.52,355.67316832794705
137,168,12,35,21,32,2000,-3108,91,3,0,0,3600,172,102,28716,5106.755350853424,355.673168328,-422.243999999556,3.276,0.10799999999999998,2,0,7.53,373.4568267443795
139,191,11,28,20,32,2000,-3108,84,10,0,0,3601,167,111,28736,5110.312082536704,355.673168328,-422.243999999556,3.0239999999999996,0.36,2,0,7.54,355.673168328038
140,219,16,21,19,32,2000,-3108,82,20,0,0,3602,161,119,28755,5113.69097763582,355.673168328,-422.243999999556,2.952,0.72,2,0,7.55,337.8895099115725
