Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
6,90,143,8,20,35,2560,0,63,85,14,-2,4480,796.70789705472,455.26165545984,0.0,2.268,3.0599999999999996,2,3
6,92,142,9,23,35,2840,0,70,90,15,-3,4503,800.798138490492,505.05589902576,0.0,2.52,3.2399999999999998,2,3
6,94,136,8,25,35,3120,0,83,99,14,-2,4528,805.244053094592,554.85014259168,0.0,2.988,3.5639999999999996,2,3
5,96,125,9,27,35,3400,0,105,98,14,-4,4555,810.04564086702,604.6443861576,0.0,3.78,3.5279999999999996,2,3
7,101,118,10,31,35,3680,0,109,94,17,-3,4586,815.558574976104,654.43862972352,0.0,3.9239999999999995,3.384,2,3
7,103,111,10,32,35,3960,0,124,107,17,-3,4618,821.249345669352,704.23287328944,0.0,4.4639999999999995,3.852,2,3
8,108,107,11,36,35,4240,0,131,107,19,-3,4654,827.651462699256,754.02711685536,0.0,4.715999999999999,3.852,2,3
6,105,100,9,39,35,4520,0,138,115,15,-3,4693,834.587089481652,803.82136042128,0.0,4.968,4.14,2,3
5,105,100,8,43,35,4800,0,135,124,13,-3,4736,842.234062600704,853.6156039872,0.0,4.859999999999999,4.4639999999999995,2,3
6,107,102,8,45,35,5080,0,139,133,14,-2,4781,850.236708888084,903.40984755312,0.0,5.004,4.787999999999999,2,3
5,103,101,6,48,35,5360,0,142,143,11,-1,4829,858.772864927956,953.20409111904,0.0,5.111999999999999,5.148,2,3
3,103,102,7,54,35,5640,0,139,135,10,-4,4883,868.376040472812,1002.99833468496,0.0,5.004,4.859999999999999,2,3
6,96,101,8,54,35,5920,0,157,150,14,-2,4937,877.979216017668,1052.79257825088,0.0,5.651999999999999,5.3999999999999995,2,3
6,72,67,9,55,35,5640,0,140,134,15,-3,4992,887.760228146688,1002.99833468496,0.0,5.04,4.824,2,3
7,12,17,9,56,35,5360,0,116,121,16,-2,5048,897.719076859872,953.20409111904,0.0,4.175999999999999,4.356,2,3
10,4,6,10,56,35,5080,0,92,111,20,0,5104,907.677925573056,903.40984755312,0.0,3.312,3.9959999999999996,2,3
13,3,3,13,53,35,4800,0,88,109,26,0,5157,917.103264533748,853.6156039872,0.0,3.1679999999999997,3.9239999999999995,2,3
16,3,5,17,52,35,4520,0,76,92,33,-1,5209,926.350766910276,803.82136042128,0.0,2.7359999999999998,3.312,2,3
23,3,8,22,49,35,4240,0,76,77,45,1,5258,935.064759534312,754.02711685536,0.0,2.7359999999999998,2.772,2,3
28,4,7,29,47,35,3960,0,69,61,57,-1,5305,943.42307899002,704.23287328944,0.0,2.484,2.1959999999999997,2,3
29,5,9,34,44,35,3680,0,60,54,63,-5,5349,951.247888693236,654.43862972352,0.0,2.1599999999999997,1.944,2,3
32,5,10,39,40,35,3400,0,58,55,71,-7,5389,958.361352059796,604.6443861576,0.0,2.0879999999999996,1.9799999999999998,2,3
38,6,11,44,40,35,3120,0,40,36,82,-6,5429,965.474815426356,554.85014259168,0.0,1.44,1.2959999999999998,2,3
41,7,12,49,36,35,2840,0,33,33,90,-8,5465,971.87693245626,505.05589902576,0.0,1.188,1.188,2,3
48,9,16,56,32,35,2560,0,29,29,104,-8,5497,977.567703149508,455.26165545984,0.0,1.0439999999999998,1.0439999999999998,2,3
54,10,21,63,29,36,2600,0,41,41,117,-9,5526,982.724964090264,462.3751188264,0.0,1.476,1.476,2,4
60,11,22,70,27,36,2600,303,44,51,130,-10,5553,987.526551862692,462.3751188264,41.164714285671,1.5839999999999999,1.8359999999999999,2,4
65,13,25,76,26,36,2600,606,34,68,141,-11,5579,992.150303050956,462.3751188264,82.329428571342,1.224,2.448,2,4
68,14,30,83,28,36,2600,909,16,69,151,-15,5607,997.129727407548,462.3751188264,123.49414285701302,0.576,2.484,2,4
71,16,36,91,27,36,2600,1212,15,77,162,-20,5634,1001.931315179976,462.3751188264,164.658857142684,0.5399999999999999,2.772,2,4
76,17,46,103,26,36,2600,1515,15,83,179,-27,5660,1006.55506636824,462.3751188264,205.82357142835502,0.5399999999999999,2.988,2,4
77,15,55,113,25,36,2600,1818,18,88,190,-36,5685,1011.00098097234,462.3751188264,246.98828571402603,0.6479999999999999,3.1679999999999997,2,4
