Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
1,3,131,1,54,18,5080,0,105,125,2,0,3193,567.832213235652,903.40984755312,0.0,3.78,4.5,1,2
4,2,129,2,52,18,4800,0,99,120,6,2,3245,577.07971561218,853.6156039872,0.0,3.5639999999999996,4.319999999999999,1,2
6,2,125,3,52,18,4520,0,84,100,9,3,3297,586.327217988708,803.82136042128,0.0,3.0239999999999996,3.5999999999999996,1,2
5,3,117,5,50,18,4240,0,80,81,10,0,3347,595.219047196908,754.02711685536,0.0,2.88,2.916,1,2
6,3,114,6,47,18,3960,0,75,70,12,0,3394,603.577366652616,704.23287328944,0.0,2.6999999999999997,2.52,1,2
7,3,111,6,43,18,3680,0,72,64,13,1,3437,611.224339771668,654.43862972352,0.0,2.5919999999999996,2.304,1,2
7,5,110,6,41,18,3400,0,70,51,13,1,3478,618.515639722392,604.6443861576,0.0,2.52,1.8359999999999999,1,2
7,4,103,8,40,18,3120,0,54,37,15,-1,3518,625.629103088952,554.85014259168,0.0,1.944,1.3319999999999999,1,2
8,5,102,8,36,18,2840,0,43,38,16,0,3554,632.031220118856,505.05589902576,0.0,1.5479999999999998,1.3679999999999999,1,2
8,7,104,9,33,18,2560,0,30,35,17,-1,3587,637.899827396268,455.26165545984,0.0,1.0799999999999998,1.26,1,2
8,7,103,10,31,34,2280,0,15,26,18,-2,3618,643.412761505352,405.46741189392,0.0,0.5399999999999999,0.9359999999999999,2,2
7,9,102,9,25,34,2000,0,24,30,16,-2,3643,647.858676109452,355.673168328,0.0,0.8639999999999999,1.0799999999999998,2,2
9,8,101,10,23,34,2000,0,31,34,19,-1,3666,651.948917545224,355.673168328,0.0,1.1159999999999999,1.224,2,2
7,12,103,9,22,34,2000,0,35,34,16,-2,3688,655.861322396832,355.673168328,0.0,1.26,1.224,2,2
9,12,102,9,22,34,2000,0,33,33,18,0,3710,659.77372724844,355.673168328,0.0,1.188,1.188,2,2
7,14,101,10,21,34,2000,0,38,34,17,-3,3731,663.508295515884,355.673168328,0.0,1.3679999999999999,1.224,2,2
7,15,100,10,20,34,2000,0,41,38,17,-3,3751,667.065027199164,355.673168328,0.0,1.476,1.3679999999999999,2,2
